id,category,text
490412144,city_petitions_124061_newyork,Limit the Metropolitan Transportation Authority's Ability to Exorbitantly Raise Toll Violation Fees<p>I am writing as a concerned and impacted citizen who has personally experienced how the Metropolitan Transportation Authority (MTA) can significantly increase violation toll fees. There have been i
490443921,city_petitions_124061_newyork,"Day off for Easter Monday! Don’t you like starting on Tuesday knowing 3 days left!!<p>I've always regarded Easter Monday as a sacred day; it's a day to worship and it feels deeply personal. However, the removal of this public holiday has, unfortunately, robbed us of this dedicated d"
490447781,city_petitions_131558_newyork,"Stop the Proposed 5% Annual Rent Increase at Masaryk Towers<p>As a long-time resident at Masaryk Towers, I find myself, like many of my fellow tenants faced with an alarming and life altering proposal of a 5% annual rent increase per room. This change not onl"
490450406,city_petitions_124061_newyork,"Expand Education on Credit Card Debt for Young Adults<p>My peers and I have too often happened upon the unfortunate circumstance of credit card debt, a result of a lack of knowledge on how to properly manage credit card usage. This issue is personal to "
490453550,city_petitions_124061_newyork,"Reformulate LAZ PARKING's Fee Structure on NYCHA Grounds<p>I, like many others, believe in the fairness of paying only what we use, especially when it comes to amenities such as parking facilities on NYCHA grounds managed by LAZ PARKING. The current struct"
490487255,city_petitions_124061_newyork,"Encourage New York to Plant Native Wildflowers on our Roadways<p>I am a lifelong resident of New York and I am writing this petition driven by a profound love for the beauty of our state. During my studies in Italy, I was struck by the vibrant wildflowers and na"
490492148,city_petitions_151088_newyork,"Renovate and Expand Marx Brothers Playground for Enhanced Soccer Facilities<p>The Upper East Side's Marx Brothers Playground, is in desperate need of renovation and expansion. Its current state is unsatisfactory and is severely lacking in amenities that soccer players need t"
490607186,city_petitions_124061_newyork,"Boycott Zara with Teens Against Greenwashing<p>The fashion industry is responsible for 10% of the world's yearly carbon emissions. A large portion of this stems from fast fashion. After agriculture, it is also the second largest consumer of wat"
490699633,city_petitions_124061_newyork,"Add MENA category to NYC school forms<p>Growing up in New York City as a Middle Eastern student, each time I filled out a school form, I faced the frustrating reality that I had to select a race that did not truly represent me. Checking "
490744257,city_petitions_124061_newyork,"Harlem Deserves Better — Hold NYC Accountable for Preventable Legionnaires’ Outbreak<p><strong>Over 100 New Yorkers were sickened and seven people died in a Legionnaires’ disease outbreak in Harlem—and now we know it could have been prevented.</strong></p>
<p>City officials have conf"
490642661,city_petitions_124061_newyork,"Petition for Stronger Animal Protections and Support for Spay/Neuter Programs in NY<p>Title:</p>
<p>Petition for Stronger Animal Protections and Support for Spay/Neuter Programs in New York State</p>
<p>Description:</p>
<p>We, the undersigned, recognize that animals are sentient bei"
490578947,city_petitions_124061_newyork,.<p>.</p>
490384892,city_petitions_124061_newyork,"End Income-Based Discrimination in New York Housing<p>As passionate advocates for just societal practices, we are deeply concerned by the plight of thousands of homeless individuals in New York City. Despite receiving government assistance, these vita"
490422020,city_petitions_124061_newyork,"Reimplement Cardiopulmonary Resuscitation (CPR) Training in NYC Public Schools<p><strong>The Issue</strong></p>
<p>Hello, we are teenagers from New York who are looking to spark change in CPR education across NYC Public Highschools. According to the American Red Cross, nearly 3"
490537628,city_petitions_124061_newyork,"HOME NYC: Housing Opportunities Made Equitable, freeze rent and create affordable housing<p> </p>
<p>1.</p>
<p>How is your social movement called (i.e., petition title)? What type of change your social movement aims to promote?</p>
<p>We are called Housing Opportunities Made Equitable New"
490538623,city_petitions_124061_newyork,"Oppose the Current Manhattan BBJ Plan - Support Affordable Housing & Alternative Sites<p>We, the undersigned residents, business owners, community members, and advocates, urge the City of New York to <strong>stop the Manhattan Borough Based Jail in its current plan, find an alternative"
490562490,city_petitions_124061_newyork,"Pin it. Post it. Sign it: Protect NYC’s Garment District and Its Makers in the MSMX Plan<p><strong>ACTION UPDATE: We’ve gotten word that the next Committee hearing on the MSMX Proposal is on July 1! If you live in NYC, please <a href=""https://actionnetwork.org/letters/say-no-to-the-curre"
490687954,city_petitions_124061_newyork,"Justice for Lady — End carriage horse abuse in plain sight in NYC<p><strong>Lady, a 15-year-old carriage horse, collapsed and died on a Manhattan street in the middle of the afternoon. </strong></p>
<p>She had worked in New York City <strong>for just six weeks.</st"
490688441,city_petitions_124061_newyork,"Unlock Learining  ,Ditch the pouch !<p>  I am urging you to take action and ban the interpretation of Yondr pouches in New York City Public Schools.While these pouches  introduced of declining rates of distractions from the school board"
490779774,city_petitions_124061_newyork,"SAVE OUR WOMEN /PROTECT OUR LADIES OF LEISURE WE ARE STILL HUMAN<p>Greetings, to all, my name is Miranda Collier, and I’m also known to many as Silence. I am a lady of leisure, and I started this petition with support of social justice advocate and clinical social"
490792618,city_petitions_124061_newyork,"What is HOPE? Improve shelter support for domestic violence survivors in NYC<p> </p>
<p> </p>
<change-media data-type=""img"" data-src=""/fe/sap-rich-media-user-uploads/2025/10/02/273b10ba-ad80-45c7-ad29-9c1990cf2ced.jpeg""></change-media>
<p> </p>
<p> </p>
<p>I experienced domes"
490815143,city_petitions_124061_newyork,"Urge Curtis Sliwa to Withdraw from the NYC Mayoral Race<p>Living in New York City is a unique experience that draws people from a multitude of backgrounds and beliefs, uniting us in one of the world's greatest cities. As a community of hardworking, compas"
490853810,city_petitions_124061_newyork,"Restore Democracy to Local 802, AFM - Demand an In Person Special Bylaw Meeting<p>We the undersigned members of Local 802 demand that the Local 802 Executive Board schedule an in person Special Membership meeting as soon as possible.  The purpose of this meeting will be to consi"
490397779,city_petitions_124061_newyork,"Pass the NY Food Safety and Chemical Disclosure Act!<p>Food additives and synthetic food dyes are commonly used to improve the shelf life, taste, and texture of different foods, however growing scientific information shows that increased consumption of"
490502574,city_petitions_124061_newyork,"Address Concerns Regarding Moonshot Curriculum and Student Well-Being<p>Dear Eva and LaMae,</p>
<p>We, the parents of SA, want to share our collective concerns regarding the marked shift in culture this year as a result of the Moonshot curriculum. What was already an i"
