id,category,text
490712651,Eric Adams,"Establish a Community Ice Rink in Astoria Park<p> </p>
<p> </p>
<change-media data-type=""img"" data-src=""/fe/sap-rich-media-user-uploads/2025/08/21/ca274c46-dded-4368-8ff6-de725e5f5a2c.jpeg""></change-media>
<p> </p>
<p> </p>
<p>As a small business"
490809582,Eric Adams,"Remove OnPoint NYC From Our NeighborhoodGrowing up in my neighborhood, my favorite park in the area of Washington Heights, located on West 180th Street and Amsterdam Avenue, was a cherished location for me and my community. This park, locat"
490798027,Eric Adams,"Augustus St Gaudens Playground to Maintain Current Fence Height. NO TO 4FEET!<p>Our families, friends and children attend P.S. 40 and Salk Middle School. </p>
<p>Like any parent or concerned Gramercy Community Member, the safety and security of our children is our utmost prior"
490752182,Eric Adams,"URGENT HELP NEEDED to make 34 St-Herald Sq Subway station safe and clean<p>We demand immediate action to address the deplorable conditions at the 34th Street-Herald Square subway station, a critical transit hub in the heart of Manhattan serving the Orange (F, B, M, D) and"
490689889,Eric Adams,"Ban Horse-Drawn Carriages in NYC – End Animal Cruelty on Our Streets<p>Every day, horse-drawn carriages continue to operate on the busy, dangerous streets of New York City — a practice that is outdated, INHUMANE  and UNSAFE</p>
<p>When not working, these animals are c"
490676338,Eric Adams,"Support the Family of Fallen NYPD Officer Didarul Islam<p>On Monday, <strong>Officer Didarul Islam—a father, husband, son, and public servant—was shot and killed while working off duty in Midtown Manhattan</strong>. He died a hero, stepping in to protect "
490668596,Eric Adams,"Ban Animal Factory Farming Immediately<p>Sentient beings, whether they are animals, insects, or any other creatures, possess the capacity to experience emotions and pain. This undeniable truth makes it imperative that their welfare is tre"
490816585,Eric Adams,"Name transitioned front holes ""the Mamdani""<p>Every human orifice deserves a proper name. It's not just about semantics; it's about identity, respect, and recognition. For individuals who undergo male-to-female gender transition surgery, the c"
490673008,Eric Adams,"Require Immediate Military Reserve Pay After 20 Years of Service<p>After contributing 20 years of combined service across various military branches, both active duty and reserves, members are currently required to endure an additional 20-year wait before they can "
490783482,Eric Adams,Stop Police Harassment of Upper West Side Book Vendors<p><strong>My name is Nelson and I've been selling books on the Upper West Side of Manhattan for over a decade. </strong>This spot in this lively neighborhood isn't just my workplace; it's my refuge a
490688157,Eric Adams,"Demand Justice in the Harlem Legionnaires Outbreak: Release Building Names<p> </p>
<p> </p>
<p> </p>
<p><strong>Enough is enough.</strong><br>We, <strong>the concerned residents of Harlem </strong>and allies across New York City, demand immediate action and full transparenc"
490687973,Eric Adams,"Grant an Additional Pre-K Classroom at P​.​S. 185 The Locke School<p>August 28, 2025 Update: Today we learned that the DOE will not be funding our fourth PK classroom for 2025-26. While this is disappointing and short-sighted, we are very glad to learn that all fami"
490766818,Eric Adams,"Eliminate Congestion Pricing Fees for NY Yellow Cabs<p>Driving a yellow taxi in New York City is not just a job—it's supposed to be a means to a decent living. Yet, I've never experienced working more than 12 hours anywhere in this vibrant city and not"
490736063,Eric Adams,"Demand a Full Independent Ethics Investigation Into City Hall Corruption<p>New Yorkers deserve a government that works for the people—not one that serves the personal interests of insiders and political appointees. <strong>But recent revelations surrounding Winnie Greco, "
490824273,Eric Adams,"Create The Move Project at Pier 76 in New York<p>In an era where censorship and silencing have unfortunately become all too common, it is through a new and dynamic event called The Move Project that we hope to foster change and celebrate the hist"
490697444,Eric Adams,"Transform ACC into a No-Kill Shelter<p>The ACC, located in one of the most bustling and compassionate cities in the world, is a high-kill shelter. Hundreds, and indeed thousands, of healthy young dogs and cats, including adorable and ad"
490790222,Eric Adams,"Stop Economic Racism in NYC Contracting<p>New York City’s contracting system is steeped in economic racism—rewarding connected insiders while shutting out Black-owned businesses. According to the NYC Comptroller’s 2024 MWBE report, Black-o"
490787491,Eric Adams,"Stand With Us to Reopen Nap York<p>Dear Nap Yorker,</p>
<p>For the past five years, your support has fueled our mission: to recharge the people who power the world. This week, the NYC Department of Buildings ordered us to vacate our"
490686547,Eric Adams,"No Casinos in Hell's Kitchen or Times Square<p>Residents of Hell's Kitchen rejected the proposal to build a casino at the Western Rail Yards.  Now, two more ill-suited casino proposals will be evaluated before separate Community Advisory Commit"
490832830,Eric Adams,"Save Lenox Hill EMS<p>Lenox Hill Hospital has been a cornerstone of the New York City community for over 150 years, offering invaluable healthcare services to the residents of the Upper East Side and beyond. However, re"
490791957,Eric Adams,"Ban Cruel Horse Carriages in NYC – Pass Ryder’s Law Now<p>Every day, carriage horses are forced to haul tourists through the congested streets of New York City—breathing in exhaust fumes, dodging traffic, and enduring unbearable weather, all while surroun"
490807131,Eric Adams,"Discontinuation of the School Bus Ticket Program<p>The school bus safety program in Nassau County, New York, intended to protect our children, has become a source of distress and financial burden for many innocent citizens due to its current misuse"
490766846,Eric Adams,"Arrest Victor M. Feraru for Public Safety<p>Victor M. Feraru, once a practicing attorney, has been suspended from the practice of law due to  fraud, negligence, and being a threat to the public. This information is not merely speculative; it"
490691166,Eric Adams,"Ban horse-drawn carriages from NYC streets due to animal welfare and traffic safety concer<p>As the proud owner of a pet shop in Hell’s Kitchen, I’ve dedicated my life to loving and pampering animals. Every day, I see the joy and healing they bring when they are treated with compassion. Bu"
490795849,Eric Adams,"Petition to Abolish Gas-Powered Leaf Blowers in Our Communities<p>For decades, gas-powered leaf blowers have assaulted our health, our peace, our wildlife, and our environment. These machines are not just a nuisance — they are a menace.</p>
<p><strong>The Human T"
490722874,Eric Adams,"Restore Safety to the East River Esplanade South Dog Park<p>We’re a group of neighbors, dog owners, and local residents rallying to restore the East River Esplanade South Dog Park — and we need your support before winter 2025 sets in.<br><br>#We are not ask"
490670764,Eric Adams,"Stop The Public School Phone Ban<p>We, the students, parents, and concerned members of the NYC school community, respectfully call on the New York City Department of Education to reconsider and revise the current public school phone"
490667332,Eric Adams,"Stop the Shelter Crisis — Fund NYC’s Animal Lifeline Now<p>New York City’s animal shelters are in crisis—and the animals are paying the price.</p>
<p><strong>Overcrowded and underfunded, shelters like Animal Care Centers (ACC) are bursting at the seams.</s"
490767644,Eric Adams,"What is HOPE?<p>Our collection of policies:</p>
<p> 1. Implement major outreach for young adults who show early symptoms of violence (bullies.) Assess. </p>
<p>2. Assign ONE social worker per domestic violence cas"
490767521,Eric Adams,"Offer discounted transit fares for full time university students<p>As a full-time student at Manhattan University, it has become increasingly challenging to afford the rising costs of transportation in New York City. The fees continue to increase, often surpassing"
490667527,Eric Adams,NYC Dept. of Correction Promotional Captain Exam #4519<p>We are writing to formally request that the scoring for the recent NYC Department of Correction Promotional Captain Examination No. 4519 be reviewed for potential adjustment through the implementat
490752712,Eric Adams,Stop the Fulton-Elliot Chelsea Demolition Plan<p>The Fulton-Elliot Chelsea redevelopment plan is more than just an urban development proposal; it is a blatant land grab that threatens to uproot and displace thousands of low-income households. For
490767391,Eric Adams,"🐴 RECOGNIZE and PROTECT  OUR CENTRAL PARK HORSES – OUR LIVING LANDMARK<p> </p>
<p>🐴 PROTECT CENTRAL PARK HORSES – OUR LIVING LANDMARK</p>
<p> </p>
<p>For more than 160 YEARS, HORSES have been the HEARTBEAT of CENTRAL PARK. When FREDERICK LAW OLMSTED and CALVERT VAUX des"
490695540,Eric Adams,"Allow phones for New York City Public Schools<p>Picture your family member or your loved one needing an emergency and calling you, but you can't pick up because the school took away your phone. Or picture needing an emergency yourself and being "
490824031,Eric Adams,"Open a Whole Foods Market in Staten Island<p>Staten Island, as an integral part of New York City, deserves the same quality of amenities and services as the other boroughs. As a resident, I have witnessed how limited the options are for acces"
490769841,Eric Adams,"Name a Street in Memory of My Late Brother in New York<p>On the bustling streets of New York, where dreams are forged and legacies built, my brother's voice echoed with promise and hope. He was more than just an aspiring rapper; he was a beacon of talent"
490813694,Eric Adams,"Inspect NYC Housing Authority Buildings Now: Prevent Another Bronx Collapse<p><strong>On October 1st, part of a 20-story affordable housing high-rise in the Bronx collapsed after an explosion, leaving families terrified and homeless.</strong></p>
<p>We were lucky this time: "
490703072,Eric Adams,"Require stroller support in all NYC subway stations<p>Having an 18-month-old child has made commuting in New York City a daunting task. The city's subway system, which serves over 5 million riders daily, often lacks the necessary accommodations for fa"
490675040,Eric Adams,"Demand Justice for the Dog Burned Alive in Queens<p>What happened on the corner of 128th Street and 116th Avenue in Queens is beyond cruelty — it’s evil.</p>
<p>A man was caught on camera dragging a lifeless dog down the street. Moments later, he po"
490667821,Eric Adams,"Justice For Ryder: Hold NYC Horse Carriage Abusers Accountable<p>Last year, the world watched in horror as Ryder, a visibly emaciated and exhausted carriage horse, collapsed in the streets of New York City. He struggled to rise while his driver, Ian McKeever, wa"
490665880,Eric Adams,"Protect NYC carriage horses with stronger health safeguards<p><strong>When Ryder the carriage horse collapsed near Times Square in 2022, the world watched in horror. </strong></p>
<p>But banning horse-drawn carriages won’t prevent the next tragedy — <strong>s"
