id,category,text
490521547,city_petitions_125700_columbia,"Serve Dubai Chocolate at the ELW Middle school formal!!<p>This is our first formal at this school, all the eighth graders have worked hard to reach the eighth grade. we are the first 6th graders that have stepped foot in the new school. we are the OGS, an"
490666315,city_petitions_156615_columbia,"Support Micro Chicken Farms in Rosewood, SC<p>Homestead chickens heal the world. In Rosewood, Columbia, SC, our community thrives on sustainable living and a connection to nature. Many of us believe in the power of micro chicken farms not just"
490554300,city_petitions_125700_columbia,"Rename Similar Street Names in Columbia, SC<p>My house was recently broken into. While we were listening to the perpetrator continuously bang our door down, we were waiting for the police to arrive. The perpetrator got into the house because t"
490486996,city_petitions_125700_columbia,"Remove the J. Marion Sims Memorial at the South Carolina Statehouse<p>This monument symbolizes an individual who conducted surgical experiments on enslaved women, who could not possibly give their informed consent, propagating both racism and misogyny. Sims' actions "
490860306,city_petitions_125700_columbia,"Implementing Driver Ability Checks for Seniors Citizens in South Carolina<p>The safety of our roads is a matter of utmost concern, and it is essential to take actionable steps to ensure that all drivers possess the requisite skills and abilities to drive safely. With the g"
490556803,city_petitions_125700_columbia,"Petition to Maintain City of Columbia Ordinance 2021-021<p>As a licensed professional counselor in the state of South Carolina and concerned citizen, I am deeply troubled by the state Attorney General Alan Wilson's <a href=""https://www.scag.gov/media/ggddq"
490511252,city_petitions_125700_columbia,"Gamecock Student Street Safety Mission in honor of Nate Baker<p>In light of the recent, tragic incident involving a student's death at the University of South Carolina, we are imploring the County of Richland to make street safety a more significant priority on"
490496425,city_petitions_125700_columbia,MS BRANTON DESERVES TEACHER OF THE MONTH<p>SHE IS THE BESTTTTTTTTTTT</p>
490740938,city_petitions_125700_columbia,"Shut Down Noisy Bar Near Our Homes<p>Every night, my children struggle to fall asleep because of the incessant loud music and frequent fights emanating from the bar located near our home in Columbia, SC. Our nights are filled with anx"
490443688,city_petitions_125700_columbia,Raise the Legal Age Requirement for Sex Work to 21 in South Carolina<p>I am a concerned citizen of South Carolina and I deeply believe in the need to protect our young adults from taking decisions that they may not be fully equipped to handle responsibly. At the age o
490365033,city_petitions_125700_columbia,"Construct a Raising Canes Restaurant on the University of South Carolina Campus<p>They say that food is a universal language, and as a student and food enthusiast at the University of South Carolina, I couldn't agree more. Everyone from all walks of life has had their lives chan"
490548764,city_petitions_125700_columbia,"Let Tater and Britches Stay Home: Support a Fair Waiver for Our Emotional Support Goats<p>We are respectfully asking the City of Columbia, SC to allow our family to keep our two beloved goats, Tater Tot and Britches, at our home within city limits.</p>
<p>These goats are not livestock. "
490881088,city_petitions_125700_columbia,"Install a left turn street light at Two Notch and Spears Creek Church intersection<p>The intersection of Two Notch Road and Spears Creek Church Road in Columbia, SC, is a critical junction that has been a frequent site of traffic congestion and accidents. Every day, thousands of co"
490540060,city_petitions_125700_columbia,"Permit the Downtown Beach Bar and Grill to Sell AlcoholWe, the residents of Columbia and West Columbia and/or surrounding area, believe in the viability and potential of our local businesses. One such business is the Downtown Beach Bar and Grill, which cu"
490557322,city_petitions_125700_columbia,"Demand Maximum Penalty for Animal Cruelty in Columbia, SC<p>Animals, just like humans, experience emotions and feelings. As a resident of Columbia, SC, I've always believed in the importance of treating animals with kindness and respect. It pains me to see "
490590012,city_petitions_125700_columbia,"Let Tattoo Professionals Do Nano Brows in South Carolina – Amend SC Code § 44-34-100(E)<p>Why This Matters:</p>
<p>South Carolina law currently prohibits tattooing on the head, face, or neck unless it is done under the supervision of a licensed physician (SC Code § <a href=""tel:44-34-10"
490452963,city_petitions_125700_columbia,Release Grad Student Funds<p>Each year the First-Year English program (FYE) at the University of South Carolina (USC) publishes a pair of custom readers — The Carolina Reader and The Carolina Rhetoric — to use as the primary t
490675973,city_petitions_125700_columbia,"Add fm bot to the worldbox discord server<p>For many years, many have tried, and failed, to add the hit discord bot "".fmbot"" to the worldbox discord server. However, if we can get 2000 people in support of this, we may finally yet find ourse"
490840873,city_petitions_125700_columbia,Fire Mike Shula<p>He sucks</p>
490483998,city_petitions_125700_columbia,"Prevent Telehealth Services From Being Limited in South Carolina<p>Despite its vital role and rising demand, Medicare and Medicaid's Telehealth services in South Carolina are in potential danger of being restricted. Medicare beneficiaries, especially the elderly, "
490909479,city_petitions_125700_columbia,"Let Julian Trade<p>The Denver Donkeys have been wrongly locked from trade, help me correct this error.</p>"
490532874,city_petitions_125700_columbia,"Protect Rabbits in SC! Hop To Change: Zip's Mission<p>🐰 Stop Inhumane Rabbit Sales — Protect Rabbits in South Carolina!</p>
<p>🐰By Hoppy Hearts SC Rabbit Rescue</p>
<p> <br>Rabbits in South Carolina need your voice.</p>
<p>Every year, countless rabbit"
490593831,city_petitions_125700_columbia,"Stand With Us: Demand Better Safety and Fair Compensation from Redpoint<p>Residents of Redpoint Columbia have faced ongoing and deeply concerning safety issues for years. From multiple car break-ins and frequent disturbances to several instances of gun violence, our comm"
490641229,city_petitions_125700_columbia,"Help Lilly Reid get a new safe reliable car<p>I'm Lilly Reid, living in Columbia, SC, and my car is dying. It's become a serious concern not just for my daily commute but for my overall safety on the road. This car has been my lifeline – getti"
490870971,city_petitions_125700_columbia,Removed<p>removed</p>
490879232,city_petitions_125700_columbia,"Require nursing students to be paid for their clinical hoursAs a nursing student, I find myself overwhelmed by the demands of my clinical hours. These hours are crucial for my training and future career, yet they require an uncompensated commitment that leaves"
490367494,city_petitions_125700_columbia,"Adjust Phone Ban in South Carolina Schools<p>Recently, the South Carolina Board of Education passed a law banning the use of phones, earbuds, smart watches, and any other electronic devices besides school equipment, to be used from bell to be"
490509148,city_petitions_125700_columbia,"Save Remote and Hybrid Work at University of South Carolina<p>Remote and Hybrid Work is being removed at UofSC</p>
<p>The division Student Affairs and Academic Support is losing the ability to work remotely. This policy goes against state law from 1993, (see "
490519761,city_petitions_125700_columbia,"Fix Our Parking: End Unfair Parking in Columbia!<p><strong>Who is impacted?</strong><br>The current system is causing unnecessary stress, financial strain, and inconvenience for many in our community, including:</p>
<ul>
<li><strong>Local business "
490509223,city_petitions_125700_columbia,"Save the Busted Plug in Columbia, SC<p>The Busted Plug, the World's Largest Fire Hydrant, is under threat in Columbia, South Carolina. This 40-foot tall artifact has become an emblem of the city's artistic expression and a unique symbol"
490841084,city_petitions_125700_columbia,Fire Mike Shula<p>There is one man who has taken away the hopes and dreams of South Carolina fans. He has to go.</p>
